,,,,,,,,,,,,,,,,,,,,,,,,,,
Subsciption based platform with premium data and tools launching soon! Join the waitlist! - https://finlo.io,,,,,,,,,,,,,,,,,,,,,,,,,,
Follow the instructions on the 'Guide' tab to get this up and running!,,,,,,,,,,,Like the spreadsheet? Buy me a coffee here! ☕️,,,,,,,,,,,,,,,
Ticker,Company,Industry,Sector,"Earn 
Call"," 
Price",Market Cap,Revs,6m Ins,Short %,Short Ratio,52 HI,52 LOW,"EV/
EBITDA",P/S,P/E,P/B,P/C,"P/
FCF",PEG,EPS,Beta,ROE,ROA,SEC,Business Summary,TRUE
AAPL,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
AB,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
ADBE,,,,,,,,5,,,,,,,,,,,,,,,,SEC,,
AMC,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
AMD,,,,,,,,4,,,,,,,,,,,,,,,,SEC,,
AMZN,,,,,,,,10,,,,,,,,,,,,,,,,SEC,,
APHA,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
API,,,,,,,,3,,,,,,,,,,,,,,,,SEC,,
APRN,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
AR,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
ATOS,,,,,,,,1,,,,,,,,,,,,,,,,SEC,,
BABA,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
BB,,,,,,,,7,,,,,,,,,,,,,,,,SEC,,
BBBY,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
BSQR,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
BXC,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
BYDDF,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
CAT,,,,,,,,9,,,,,,,,,,,,,,,,SEC,,
CCIV,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
CGC,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
CLOV,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
CNR,,,,,,,,1,,,,,,,,,,,,,,,,SEC,,
COTY,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
CRSR,,,,,,,,1,,,,,,,,,,,,,,,,SEC,,
CSCO,,,,,,,,6,,,,,,,,,,,,,,,,SEC,,
DIS,,,,,,,,3,,,,,,,,,,,,,,,,SEC,,
DKNG,,,,,,,,6,,,,,,,,,,,,,,,,SEC,,
DM,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
ELY,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
ERIC,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
ET,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
EXPR,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
F,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
FB,,,,,,,,9,,,,,,,,,,,,,,,,SEC,,
FCEL,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
FNKO,,,,,,,,6,,,,,,,,,,,,,,,,SEC,,
FORD,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
FRTA,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
FSCR,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
FTK,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
FTNT,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
GE,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
GME,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
HGEN,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
HPE,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
HSTRF,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
IBM,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
IDEX,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
INTC,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
JMIA,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
JNJ,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
M,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
MACE,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
MRNA,,,,,,,,5,,,,,,,,,,,,,,,,SEC,,
MSFT,,,,,,,,3,,,,,,,,,,,,,,,,SEC,,
NC,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
NFLX,,,,,,,,13,,,,,,,,,,,,,,,,SEC,,
NIO,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
NNDM,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
NOK,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
NUM,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
NVDA,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
ON,,,,,,,,4,,,,,,,,,,,,,,,,SEC,,
ORCL,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
OTGLF,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
PBF,,,,,,,,1,,,,,,,,,,,,,,,,SEC,,
PBI,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
PFE,,,,,,,,3,,,,,,,,,,,,,,,,SEC,,
PINS,,,,,,,,6,,,,,,,,,,,,,,,,SEC,,
PLTR,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
PLUG,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
POLA,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
PTON,,,,,,,,8,,,,,,,,,,,,,,,,SEC,,
RFP,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
RRC,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
SBUX,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
SFIX,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
SHOP,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
SNE,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
SNPR,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
SPI,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
SPOT,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
SU,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
TAKOF,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
TCEHY,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
TLRY,,,,,,,,1,,,,,,,,,,,,,,,,SEC,,
TSE,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
TSIA,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
TSLA,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
TSM,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
TTOO,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
TWTR,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
VVPR,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
WISH,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,
XL,,,,,,,,7,,,,,,,,,,,,,,,,SEC,,
XPEV,,,,,,,,,,,,,,,,,,,,,,,,SEC,,
Z,,,,,,,,Loading...,,,,,,,,,,,,,,,,SEC,,