date,layman__oil_price,layman__gas_price,layman__mortgage_rate_30yr,layman__median_home_price,layman__total_retail_sales,layman__cpi_electricity,layman__cpi_used_cars,layman__total_consumer_credit,layman__avg_auto_loan_rate_48mo,layman__total_student_loans,layman__rental_vacancy_rate,layman__cpi_event_admission,layman__cpi_airfare,layman__cpi_transit_fares,layman__consumer_sentiment_index,layman__personal_savings_rate,layman__unemployment_rate,layman__federal_funds_rate,layman__youth_unemployment_rate,layman__food_price_index,layman__general_cpi_index,layman__medical_services_index,layman__nairu_estimate,layman__core_cpi,layman__u6_underemployment_rate,layman__part_time_econ_reasons,layman__cpi_childcare,layman__yield_curve_spread,layman__unused_worker_slack,layman__interest_policy_gap,layman__labor_underutilization_index,layman__housing_affordability_index,layman__youth_volatility_exposure,layman__service_sector_cost_chaos,layman__recession_signal_score
1997-01-01,25.17,1.232,7.88,145000.0,223481.0,132.4,154.8,1258365.28,8.92,480966.98,7.5,232.7,198.1,188.9,97.4,5.9,5.3,5.25,9.5,155.9,159.4,231.8,5.234661349,167.8,9.4,4189.0,275.1,0.59,0.0653386510000002,244.4173306745,0.5072757244490717,5.16366182391038e-06,0.3985294117647059,0.3100052210233206,-0.2699035712959976
1997-02-01,22.21,1.232,7.88,145000.0,225422.0,132.8,154.7,1261850.81,8.92,480966.98,7.5,233.5,192.9,182.9,99.7,6.0,5.2,5.19,8.6,156.5,159.7,232.2,5.234661349,168.1,9.3,4242.0,275.3,0.59,-0.0346613489999994,244.97733067449997,0.5019816068020129,5.2511815158410645e-06,0.3147058823529412,0.3110424643230073,-0.2751197215692837
1997-03-01,20.99,1.217,7.65,145000.0,226161.0,133.0,155.0,1264146.34,9.2,480966.98,7.5,234.3,201.6,186.0,100.0,6.1,5.2,5.39,8.9,156.6,159.8,233.0,5.234661349,168.4,9.1,4112.0,275.3,0.47,-0.0346613489999994,245.2273306745,0.4763178899878536,5.4992111787243626e-06,0.3276470588235294,0.3172189349112426,-0.3004654427175359
1997-04-01,19.72,1.191,7.97,145800.0,224615.0,133.3,154.3,1274087.38,9.2,480966.98,7.9,235.3,204.1,187.2,101.4,6.2,5.1,5.51,9.0,156.5,159.9,233.5,5.219652759,168.9,9.3,4396.0,275.4,0.48,-0.119652759,245.89982637950004,0.5161617213256985,5.3355088440361915e-06,0.3254411764705883,0.3129620605638705,-0.2843966613447492
1997-05-01,20.83,1.185,8.08,145800.0,222929.0,132.9,153.5,1278678.42,9.2,480966.98,7.9,236.7,201.5,187.6,103.2,6.5,4.9,5.5,8.2,156.6,159.9,234.1,5.219652759,169.2,8.9,4032.0,275.9,0.42,-0.3196527589999993,246.4598263795,0.4236196425472844,5.51752706134811e-06,0.2548529411764706,0.306496693351897,-0.2939681876120936
1997-06-01,19.17,1.204,7.94,145800.0,226057.0,133.0,151.6,1282858.52,8.99,480966.98,7.9,238.5,199.1,186.1,104.5,6.3,5.0,5.56,8.3,156.9,160.2,234.4,5.219652759,169.4,8.9,3998.0,276.1,0.45,-0.2196527589999997,246.6498263795,0.4359639076869686,5.4420499424697575e-06,0.2563235294117647,0.2794430908458058,-0.2491936237498824
1997-07-01,19.63,1.171,7.58,145000.0,228703.0,132.4,150.1,1288782.03,8.99,480966.98,7.9,239.6,203.6,186.6,107.1,5.8,4.9,5.52,7.7,157.2,160.4,234.7,5.205307376,169.7,8.7,4040.0,277.0,0.43,-0.305307376,247.18265368799996,0.4124102030192608,5.2770448548812665e-06,0.18,0.2629777236338322,-0.2207964081291537
1997-08-01,19.93,1.164,7.36,145000.0,229309.0,131.9,149.0,1294219.24,8.99,480966.98,7.9,241.3,194.0,183.2,104.4,5.7,4.8,5.54,8.1,157.7,160.8,235.1,5.205307376,169.8,8.7,4049.0,281.9,0.31,-0.4053073760000005,247.362653688,0.4047683498178033,5.3410794602698656e-06,0.2372058823529411,0.2397476505395057,-0.3112553768300442
1997-09-01,19.79,1.229,7.58,145000.0,230312.0,132.4,148.2,1301634.97,8.96,480966.98,7.9,241.1,198.0,186.2,106.0,5.9,4.9,5.54,8.3,158.0,161.2,235.5,5.205307376,170.2,8.7,4004.0,287.5,0.29,-0.305307376,247.912653688,0.4097553357626237,5.368028386861978e-06,0.2519117647058823,0.2126940480334145,-0.1269292224471792
1997-10-01,21.26,1.195,7.28,144200.0,229836.0,131.9,147.3,1309389.39,8.96,480966.98,7.7,241.6,205.5,190.3,105.6,5.9,4.7,5.5,8.6,158.3,161.5,236.1,5.191631613,170.6,8.5,3973.0,288.2,0.29,-0.491631613,248.64581580649997,0.3753062640985597,5.620246604990017e-06,0.2914705882352941,0.2047580925861468,-0.3052880470232996
1997-11-01,20.17,1.168,7.21,144200.0,230440.0,133.1,147.0,1312457.18,8.96,480966.98,7.7,242.4,197.5,187.5,107.2,6.1,4.6,5.52,8.5,158.6,161.7,236.9,5.191631613,170.8,8.4,3962.0,288.3,0.21,-0.5916316130000006,248.9758158065,0.3470345306264099,5.867178618077451e-06,0.2672058823529412,0.2041750783153498,-0.310606547278541
1997-12-01,18.32,1.14,7.17,144200.0,231181.0,130.5,147.4,1324757.33,8.89,480966.98,7.7,243.5,194.8,188.2,102.1,6.1,4.7,5.5,8.5,158.7,161.8,237.8,5.191631613,171.2,8.5,3848.0,288.5,0.08,-0.491631613,249.54581580649997,0.3676366475793857,5.899910437425162e-06,0.2860294117647059,0.2106508875739645,-0.4175677017785639
1998-01-01,16.71,1.099,6.99,152200.0,231587.0,129.9,148.1,1320044.02,8.89,480966.98,7.7,243.7,200.1,190.0,106.6,7.0,4.6,5.56,9.1,159.5,162.0,238.1,5.178625042,171.6,8.4,3922.0,289.2,0.21,-0.5786250420000005,250.12931252099995,0.3446746486205102,6.579701807914066e-06,0.3091176470588235,0.2199234249912983,-0.160521002979801
1998-02-01,16.06,1.055,7.12,152200.0,231684.0,128.2,148.7,1324342.72,8.89,480966.98,7.7,245.1,206.6,191.4,110.4,7.0,4.6,5.51,8.4,159.4,162.0,238.8,5.178625042,171.9,8.3,3866.0,289.2,0.21,-0.5786250420000005,250.62931252100003,0.3328752385910116,6.459566802994286e-06,0.2402941176470588,0.2384528367560041,-0.2518842492338736
1998-03-01,15.02,1.038,7.09,152200.0,233083.0,127.5,148.4,1332903.44,8.69,480966.98,7.7,246.4,210.7,191.6,106.5,7.1,4.7,5.49,7.9,159.7,162.0,239.4,5.178625042,172.2,8.4,3859.0,289.5,0.07,-0.478625042,251.04931252099993,0.357607149054312,6.579569232822227e-06,0.1999999999999999,0.2312547859380438,-0.3412679270336755
1998-04-01,15.44,1.026,7.08,149500.0,235986.0,127.8,148.9,1360456.29,8.69,480966.98,8.0,248.5,210.1,191.0,108.7,6.9,4.3,5.45,7.5,159.7,162.2,240.3,5.166280901,172.5,8.0,3775.0,290.0,0.07,-0.8662809010000005,251.7331404505,0.2627884782231476,6.51890482398957e-06,0.1436764705882353,0.2459658893143056,-0.3496636239538283
1998-05-01,14.86,1.032,7.22,149500.0,237075.0,128.1,149.9,1363080.86,8.69,480966.98,8.0,249.8,205.0,189.6,106.5,6.6,4.4,5.49,7.6,160.3,162.6,241.2,5.166280901,172.9,8.0,3727.0,290.5,0.08,-0.766280901,252.2431404505,0.2751362137775464,6.114564707844245e-06,0.1664705882352941,0.2780351548903585,-0.3717194448318896
1998-06-01,13.66,1.047,7.07,149500.0,238971.0,127.9,150.8,1373942.33,8.7,480966.98,8.0,249.9,200.9,187.9,105.6,6.5,4.5,5.56,8.0,160.2,162.8,241.8,5.166280901,173.2,8.1,3766.0,290.4,0.01,-0.6662809010000004,252.5731404505,0.3004633003643935,6.149683291310498e-06,0.21,0.2874416985729203,-0.3898949916207621
1998-07-01,14.08,1.042,6.96,153000.0,237411.0,127.5,151.4,1380720.85,8.7,480966.98,8.2,251.0,207.3,189.6,105.2,6.6,4.5,5.54,8.1,160.6,163.2,242.5,5.154586724,173.5,8.2,3796.0,291.1,-0.02,-0.6545867239999996,253.037293362,0.3110827693909422,6.197881451431147e-06,0.2208823529411764,0.2986286112077967,-0.4031491404605773
1998-08-01,13.36,1.035,6.97,153000.0,236379.0,127.0,151.4,1386666.45,8.7,480966.98,8.2,250.2,207.8,192.1,104.4,6.5,4.5,5.55,8.4,161.0,163.4,243.3,5.154586724,174.0,7.9,3537.0,295.8,0.01,-0.6545867239999996,253.77729336199997,0.2750945688009717,6.095216661509175e-06,0.2619117647058823,0.2986338322311173,-0.4080374266173619
1998-09-01,14.95,0.998,6.92,153000.0,238550.0,126.0,151.6,1397289.73,8.62,480966.98,8.2,253.1,206.0,190.5,100.9,6.1,4.6,5.51,8.4,161.1,163.5,244.1,5.154586724,174.2,8.0,3448.0,300.9,0.19,-0.554586724,254.067293362,0.2957070969980913,5.761456798519022e-06,0.2747058823529411,0.3059919944309085,-0.4069703557671301
1998-10-01,14.39,0.999,6.64,153000.0,242549.0,125.7,152.0,1405396.66,8.62,480966.98,7.8,256.1,205.2,189.2,97.4,5.9,4.5,5.07,7.3,162.0,163.9,244.8,5.143525089,174.4,7.9,3433.0,301.2,0.16,-0.6435250889999997,254.85176254450005,0.2715547457921222,5.807543901094574e-06,0.1675,0.3174678036895231,-0.4874983017242861
1998-11-01,12.85,1.001,6.83,153000.0,244291.0,126.5,153.0,1408442.69,8.62,480966.98,7.8,257.1,200.8,189.3,102.7,6.0,4.4,4.83,6.8,162.2,164.1,245.3,5.143525089,174.8,7.7,3339.0,301.4,0.52,-0.7435250889999994,255.7417625445,0.2403279541905257,5.74168173858123e-06,0.0823529411764706,0.3354142011834319,-0.3139284468895194
1998-12-01,11.28,0.954,6.78,153000.0,246530.0,126.2,152.4,1420996.44,8.34,480966.98,7.8,258.0,202.8,191.9,100.5,5.5,4.4,4.68,7.2,162.4,164.4,245.9,5.143525089,175.4,7.6,3420.0,301.7,0.23,-0.7435250889999994,256.7917625445,0.2367881311816762,5.302022480575317e-06,0.1279411764705882,0.3321841280891054,-0.4248224641078688
1999-01-01,12.47,0.914,6.83,157400.0,246868.0,126.3,150.6,1431236.93,8.34,480966.98,8.2,257.4,206.4,193.2,103.9,6.1,4.3,4.63,7.1,163.0,164.7,246.5,5.133074442,175.6,7.6,3449.0,302.4,0.1,-0.833074442,257.186537221,0.2262103071317022,5.67419691509727e-06,0.1091176470588235,0.2980717020536025,-0.2432405187399503
1999-02-01,12.01,0.908,6.74,157400.0,249520.0,126.5,148.3,1441314.59,8.34,480966.98,8.2,259.5,211.4,193.2,108.1,6.0,4.4,4.76,7.7,163.3,164.7,247.3,5.133074442,175.6,7.7,3425.0,303.3,0.1,-0.7330744419999995,257.006537221,0.2438677771993753,5.655703399831837e-06,0.1610294117647059,0.2489592760180995,-0.3208533082161375
1999-03-01,14.66,0.891,6.89,157400.0,250667.0,126.7,147.4,1450878.82,8.31,480966.98,8.2,260.5,221.3,196.8,105.7,5.6,4.2,4.81,7.2,163.3,164.8,247.9,5.133074442,175.7,7.5,3550.0,303.5,0.2,-0.9330744419999996,257.20653722099996,0.2061929550581294,5.163736553537804e-06,0.1141176470588235,0.2389644970414201,-0.3613636577365546
1999-04-01,17.34,1.055,6.98,158700.0,252477.0,126.7,148.3,1457670.57,8.31,480966.98,8.1,261.1,225.8,199.4,104.6,4.7,4.3,4.74,7.5,163.5,165.9,248.7,5.123209982,176.3,7.7,3443.0,303.8,0.26,-0.8232099819999998,258.121604991,0.2315200416449765,4.242926499874518e-06,0.1680882352941176,0.2524991298294465,-0.3502496226442024
1999-05-01,17.75,1.099,6.93,158700.0,254735.0,126.5,149.6,1468146.61,8.31,480966.98,8.1,262.5,220.2,197.7,106.8,4.4,4.2,4.74,7.4,163.8,166.0,249.3,5.123209982,176.5,7.4,3393.0,304.1,0.28,-0.9232099819999996,258.471604991,0.1890838105153566,4.000760144427442e-06,0.1427941176470588,0.2919161155586495,-0.3174571157237471
1999-06-01,17.89,1.088,7.23,158700.0,255449.0,125.8,150.9,1479315.32,8.44,480966.98,8.1,263.3,209.7,192.1,107.3,4.3,4.3,4.76,7.6,163.7,166.0,250.0,5.123209982,176.6,7.5,3411.0,304.4,0.24,-0.8232099819999998,258.551604991,0.2144108971022036,3.747600010807032e-06,0.1629411764705882,0.313686042464323,-0.3032667177707656
1999-07-01,20.07,1.095,7.63,159100.0,257456.0,125.9,152.3,1492377.6,8.44,480966.98,8.2,264.2,223.3,198.3,106.0,4.4,4.3,4.99,7.8,163.9,166.7,250.9,5.1139045869999995,177.1,7.5,3350.0,305.4,0.27,-0.8139045869999997,259.0669522935,0.2126409855977789,3.6245822463018967e-06,0.2016176470588235,0.3425147928994083,-0.3153046480151803
1999-08-01,21.26,1.172,7.7,159100.0,260230.0,125.8,153.8,1503226.61,8.44,480966.98,8.2,265.4,217.2,196.0,104.5,4.3,4.2,5.07,7.4,164.2,167.1,251.7,5.1139045869999995,177.3,7.3,3286.0,309.9,0.29,-0.9139045869999992,259.3369522935001,0.1755144889814333,3.5100035100035098e-06,0.165735294117647,0.3584023668639053,-0.3472233835074855
1999-09-01,23.88,1.214,7.8,159100.0,261317.0,126.1,155.7,1511059.26,8.67,480966.98,8.2,266.0,213.6,194.6,107.2,3.7,4.2,5.22,7.4,164.6,167.8,252.5,5.1139045869999995,177.8,7.4,3279.0,315.3,0.25,-0.9139045869999992,259.93695229350004,0.1825941349991324,2.981514609421586e-06,0.1511764705882353,0.3795840584754612,-0.3085446415403715
1999-10-01,22.64,1.248,7.7,165300.0,261818.0,127.0,156.4,1517281.83,8.67,480966.98,7.9,267.7,224.9,201.5,103.2,4.0,4.1,5.2,7.7,165.0,168.1,253.1,5.105129749,178.1,7.2,3153.0,315.9,0.27,-1.005129749,260.4525648745,0.1425195210827693,3.1426528704205653e-06,0.2091176470588235,0.3866481030281935,-0.3852884339299549
1999-11-01,24.97,1.218,7.96,165300.0,264965.0,127.1,156.1,1525334.42,8.67,480966.98,7.9,256.0,226.4,204.7,107.2,4.1,4.1,5.42,7.6,165.3,168.4,253.9,5.105129749,178.4,7.2,3225.0,316.3,0.23,-1.005129749,260.68256487450003,0.1472392850945688,3.116003489923908e-06,0.1780882352941176,0.3732735816219979,-0.3237940796345324
1999-12-01,26.08,1.262,7.75,165300.0,269863.0,127.1,155.0,1531105.96,8.88,480966.98,7.9,257.0,224.9,204.5,105.4,3.7,4.0,5.3,7.3,165.5,168.8,254.9,5.105129749,178.7,7.1,3283.0,316.3,0.17,-1.1051297489999996,261.3025648744999,0.1245688009717161,2.888199363815546e-06,0.153235294117647,0.3650382875043508,-0.3828577306938691
2000-01-01,27.18,1.263,8.06,165300.0,268044.0,126.9,153.9,1538520.18,8.88,480966.98,7.9,273.3,221.8,202.6,112.0,4.5,4.0,5.45,7.5,165.6,169.3,255.6,5.096856488999999,179.3,7.0,3208.0,317.3,0.21,-1.0968564889999994,262.04842824450003,0.1071646711782058,3.377572021094063e-06,0.1622058823529412,0.3672520013922729,-0.2552304920274867
2000-02-01,29.35,1.307,8.25,165300.0,272020.0,127.6,153.0,1549185.29,8.88,480966.98,7.9,276.2,230.2,205.0,111.3,4.0,4.1,5.73,7.6,166.2,170.0,256.5,5.096856488999999,179.4,7.1,3167.0,318.0,0.02,-0.9968564889999998,261.8684282445,0.1319000520562207,2.9331426790591943e-06,0.1836764705882352,0.3610807518273581,-0.3010654989664732
2000-03-01,29.89,1.413,8.31,165300.0,275192.0,127.4,153.0,1561450.69,9.22,480966.98,7.9,275.5,240.7,208.1,107.1,3.8,4.0,5.85,7.4,166.5,171.0,257.7,5.096856488999999,180.0,7.1,3231.0,318.3,-0.13,-1.0968564889999994,262.69842824449995,0.1219139337150789,2.7663665158996914e-06,0.1733823529411764,0.3610859728506786,-0.4240309119955615
2000-04-01,25.74,1.484,8.23,163200.0,271046.0,127.6,154.0,1570527.74,9.22,480966.98,8.0,276.4,239.5,207.2,109.2,4.3,3.8,6.02,7.2,166.7,170.9,258.4,5.089056238,180.3,6.9,3186.0,318.7,-0.47,-1.2890562380000006,263.0745281190001,0.070074613916363,3.201462845162366e-06,0.1161764705882352,0.3743264879916463,-0.499943808306888
2000-05-01,28.78,1.386,8.13,163200.0,271394.0,127.2,155.4,1583507.92,9.22,480966.98,8.0,277.6,241.3,209.2,110.7,4.3,4.0,6.27,8.0,167.3,171.2,259.2,5.089056238,180.7,7.1,3283.0,319.2,-0.44,-1.0890562380000004,263.324528119,0.1245688009717161,3.24084123194173e-06,0.2225,0.3890375913679081,-0.4363946870036089
2000-06-01,31.83,1.509,8.62,163200.0,273422.0,127.9,155.7,1609548.04,9.62,480966.98,8.0,278.4,245.0,211.1,106.4,4.3,4.0,6.53,7.5,167.4,172.2,260.3,5.089056238,181.1,7.0,3209.0,320.9,-0.41,-1.0890562380000004,263.664528119,0.1077546416796807,3.056617078385879e-06,0.1983823529411764,0.3937486947441699,-0.498039882051919
2000-07-01,29.77,1.641,8.22,168800.0,272630.0,128.8,155.3,1629751.44,9.62,480966.98,8.2,279.8,246.8,210.3,108.3,4.7,4.0,6.54,7.0,168.3,172.7,261.2,5.081701651,181.5,7.0,3144.0,321.7,-0.35,-1.0817016510000004,264.2508508255,0.1042148186708311,3.3872995006976397e-06,0.1160294117647059,0.3914009745910198,-0.4446471063351794
2000-08-01,31.22,1.447,8.13,168800.0,272918.0,128.8,155.2,1651615.4,9.62,480966.98,8.2,281.2,250.4,213.6,107.3,4.8,4.1,6.5,6.6,168.7,172.7,262.4,5.081701651,181.9,7.1,3211.0,325.4,-0.27,-0.9817016510000008,264.8408508255,0.1348499045635953,3.497665308406638e-06,0.0805882352941176,0.3919944309084581,-0.423193227282986
2000-09-01,33.88,1.456,7.96,168800.0,277548.0,129.3,156.2,1669000.81,9.64,480966.98,8.2,283.9,244.9,212.7,106.8,4.1,3.9,6.52,6.5,168.9,173.6,263.3,5.081701651,182.3,7.0,3217.0,330.8,-0.41,-1.1817016510000005,265.5208508255001,0.094816935623807,3.0513944128224052e-06,0.0855882352941176,0.4031761225200139,-0.490899898681725
2000-10-01,33.08,1.525,7.88,172900.0,276927.0,129.4,157.9,1684599.32,9.64,480966.98,7.8,284.2,236.3,208.5,105.8,4.3,3.9,6.51,6.7,169.0,173.9,264.1,5.07476733,182.6,6.8,3179.0,332.1,-0.18,-1.1747673300000003,265.977383665,0.0747579385736595,3.156074489229712e-06,0.1064705882352941,0.4120048729550992,-0.445248974020952
2000-11-01,34.4,1.523,7.68,172900.0,276029.0,130.2,159.3,1700944.54,9.64,480966.98,7.8,285.5,238.0,212.5,107.6,4.3,3.9,6.51,6.8,169.2,174.2,264.7,5.07476733,183.1,7.1,3467.0,332.5,-0.14,-1.1747673300000003,266.727383665,0.1207756376887038,3.2382639290534024e-06,0.105,0.4196571528019491,-0.3996646241744081
2000-12-01,28.46,1.489,7.65,172900.0,275791.0,130.5,160.2,1716969.72,9.17,480966.98,7.8,287.1,238.2,213.1,98.4,4.1,3.9,6.4,7.0,170.0,174.6,265.6,5.07476733,183.3,6.9,3243.0,332.7,-0.1,-1.1747673300000003,267.1373836650001,0.086557348603158,3.0997554217368457e-06,0.1563235294117647,0.4249564914723286,-0.5467875974014027
2001-01-01,29.58,1.377,7.13,169800.0,278834.0,133.9,160.4,1729851.68,9.17,480966.98,8.2,288.6,239.0,214.0,94.7,4.5,4.2,5.98,7.3,170.3,175.6,267.2,5.068230454,183.9,7.3,3332.0,333.3,0.55,-0.8682304539999999,268.304115227,0.177284400485858,3.716937837931598e-06,0.2289705882352941,0.4293734772015315,-0.3858942091262105
2001-02-01,29.61,1.446,7.15,169800.0,278773.0,133.3,160.4,1748702.02,9.17,480966.98,8.2,288.2,242.0,213.5,90.6,4.6,4.2,5.49,7.4,171.2,176.0,268.3,5.068230454,184.4,7.3,3296.0,333.7,0.55,-0.8682304539999999,269.544115227,0.1766944299843831,3.7889083825479583e-06,0.285,0.4293786982248521,-0.4678098191699881
